variant,run,event_timing_ms
before,01,23.237
before,02,22.547
before,03,17.786
before,04,23.060
before,05,25.614
before,06,22.208
before,07,22.060
before,08,18.840
before,09,23.037
before,10,23.048
before,11,31.898
before,12,22.136
before,13,22.500
before,14,24.943
before,15,22.977
before,16,21.536
before,17,21.142
before,18,21.866
before,19,22.214
before,20,22.643
before,21,23.059
before,22,22.174
before,23,17.693
before,24,22.141
before,25,17.656
before,26,21.619
before,27,25.627
before,28,17.525
before,29,22.292
before,30,21.525
after,01,18.167
after,02,15.445
after,03,17.066
after,04,19.120
after,05,17.293
after,06,16.182
after,07,13.406
after,08,19.312
after,09,18.368
after,10,18.742
after,11,16.683
after,12,17.764
after,13,18.854
after,14,17.014
after,15,13.483
after,16,19.896
after,17,17.905
after,18,18.154
after,19,18.208
after,20,17.679
after,21,18.037
after,22,17.750
after,23,19.250
after,24,14.911
after,25,19.235
after,26,18.460
after,27,18.694
after,28,18.719
after,29,17.610
after,30,17.361
